Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
ER_DNA_143,143,IEWFS000G,1196587,Gs0135149,Gb0191656,Gp0321276,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_143",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518565,SAMN10864143,503568,ER_DNA_143,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_143",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_143,143,IEWFS000G,1202976,Gs0135149,Gb0192082,Gp0324010,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_143",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622049,SAMN14515728,503568,ER_RNA_143,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_143",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
143,143,IEWFS000G,,,,,747949; 747997; 743568; 724414; 723595; 724066; 769692; 769660; 738682; 738683; 738684; 738679; 738680; 739466,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_144,144,IEWFS000H,1196588,Gs0135149,Gb0191657,Gp0321277,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_144",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518566,SAMN10864142,503568,ER_DNA_144,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_144",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_144,144,IEWFS000H,1202977,Gs0135149,Gb0192083,Gp0324011,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_144",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622050,SAMN14515110,503568,ER_RNA_144,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_144",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
144,144,IEWFS000H,,,,,747970; 748018; 743569; 724415; 724067; 724416; 769677; 769706; 738688; 738689; 739467; 738685; 738686; 738687,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
145,145,IEWFS000I,,,,,705715; 705935; 705718; 705717; 705721; 715138; 715139; 715140; 713584; 713593; 713602; 705716; 705936; 705719; 705720,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
146,146,IEWFS000J,,,,,705722; 705725; 723597; 724068; 724417; 705724; 705728; 715141; 715142; 715143; 713585; 713594; 713603; 705723; 705726; 705727,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
147,147,IEWFS000K,,,,,705729; 705732; 705731; 705735; 717361; 717368; 717369; 715145; 717370; 715146; 713586; 713595; 713604; 705730; 705733; 705734,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_148,148,IEWFS000L,1196589,Gs0135149,Gb0191658,Gp0321278,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_148",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518567,SAMN10864253,503568,ER_DNA_148,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_148",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_148,148,IEWFS000L,1203901,Gs0135149,Gb0192105,Gp0324033,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_148",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622051,SAMN14515399,503568,ER_RNA_148,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_148",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
148,148,IEWFS000L,,,,,723598; 723599; 724418,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_149,149,IEWFS000M,1196590,Gs0135149,Gb0191659,Gp0321279,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,10,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_149",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518568,SAMN10864141,503568,ER_DNA_149,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_149",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
